Exs username,Animelist,Currently watching,Last updated,Days spent watching anime,Currently reading,Last updated,Days spent reading manga
alberts00,http://myanimelist.net/animelist/Alberts00,,,,,,
lemonwave,http://myanimelist.net/animelist/lemonwave,,,,,,
Zebot,http://myanimelist.net/animelist/t3hzb0t,,,,,,
PainFoinmr,http://myanimelist.net/animelist/latvis20,,,,,,
Aya,http://myanimelist.net/animelist/ayanecrosis,,,,,,
Brushie,http://myanimelist.net/animelist/Bcaz,,,,,,
Ginko,http://myanimelist.net/animelist/GreedyIndeed,,,,,,
Gemini,http://myanimelist.net/animelist/FluxSpirit,,,,,,
